"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855f9""}",Tweet_id:1235955987586125827,"created_at:""Fri Mar 06 15:50:45 +0000 2020""","rawtext:""Ethereum Whales Accumulate in Anticipation of ETH 2.0\nhttps://t.co/MdeoG9kdut\n\n#Anticipation #Ethereum""","text:""Ethereum Whales Accumulate in Anticipation of ETH 2.0 ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855fa""}",Tweet_id:1235956620821135360,"created_at:""Fri Mar 06 15:53:16 +0000 2020""","rawtext:""We're grateful for your post!  RT @StephhStunna: #feelingsoblessed #feelingsogood #thankful #grateful #blessedbeyondmeasure #happy #excited #ready #readyforanything_ https://t.co/S0d1SaEPfj""","text:""we are grateful for your post! RT : ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855f8""}",Tweet_id:1235954423383445510,"created_at:""Fri Mar 06 15:44:32 +0000 2020""","rawtext:""So excited for @msleasalonga tonight at the dubaiopera #uae  #leasalonga #dubai #dubaiopera #musicaltheatre #mulan #soexcited @ Dubai Opera https://t.co/hkOWOu7wOd""","text:""So excited for tonight at the dubaiopera uae leasalonga dubai dubaiopera musicaltheatre mulan soexcited @ Dubai Opera""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855f7""}",Tweet_id:1235954563150221315,"created_at:""Fri Mar 06 15:45:05 +0000 2020""","rawtext:""Happy Friday! #crystalcoast #coffee #roasters #fridayvibes #excited #rebel #blazeyourowntrail #countdownbegins #breathe #freshfriday #coffeelab #roastery #makegreatcoffeeanytime #withpassion https://t.co/aNQcpb2Ctx""","text:""Happy Friday! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855fb""}",Tweet_id:1235956647769575424,"created_at:""Fri Mar 06 15:53:22 +0000 2020""","rawtext:""__\n\nDice \n\nportrait of\n\nSitting Bull\n\n__\n\n#Art #Interesting #Artist #ThursdayThoughts \nvia @imjakeroman on tiktok \n\nhttps://t.co/QjooEfegoz""","text:""Dice portrait of Sitting Bull Art Interesting Artist ThursdayThoughts via on tiktok""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855fc""}",Tweet_id:1235957398575157249,"created_at:""Fri Mar 06 15:56:21 +0000 2020""","rawtext:""@DC_ORSIE CCBI Congratulations on the launch of your Red Ale in the US!!!""","text:""CCBI Congratulations on the launch of your Red Ale in the US!!""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855fd""}",Tweet_id:1235957147109912577,"created_at:""Fri Mar 06 15:55:21 +0000 2020""","rawtext:""360 copies of our first ever #boardgame Burglar has arrived in the office this afternoon and we are soooo #Excited #TGIF https://t.co/FsmQbX5EeM""","text:""360 copies of our first ever boardgame Burglar has arrived in the office this afternoon and we are so ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855fe""}",Tweet_id:1235954428806606851,"created_at:""Fri Mar 06 15:44:33 +0000 2020""","rawtext:""#Enjoy Every Day! #Jump into your Day with #Joy and #Excitement just like #Dogs __________ __ via @77happyday @CONTEMPRA_INN__""","text:""Enjoy Every Day! Jump into your Day with Joy and Excitement just like Dogs via""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855ff""}",Tweet_id:1235957024854245379,"created_at:""Fri Mar 06 15:54:52 +0000 2020""","rawtext:""Thank you so much ______"," I am #happy #honored and #excited to be part of this project and to be part of such team of wonderful #models. #unitednationsofadult""","text:""Thank you so much "," I am happy honored and excited to be part of this project and to be part of such team of wonderful ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85603""}",Tweet_id:1235958498170568704,"created_at:""Fri Mar 06 16:00:43 +0000 2020""","rawtext:""#FridayFeeling__\n\nIt__ time for the weekend!\n\nLet us know why you__e excited for the weekend down below__\n\n#friday #weekend #excited #iowacity #digitalmarketing https://t.co/EAEM1Ma3J3""","text:""FridayFeeling it is time for the weekend! Let us know why you are excited for the weekend down below ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85605""}",Tweet_id:1235959279682818048,"created_at:""Fri Mar 06 16:03:49 +0000 2020""","rawtext:""Our green party is coming up! March 17th from 2-5 in the office stop by an grab some green goodies!!! #hooray #party #excited #sanantonio #savethedate https://t.co/9xXiws8w22""","text:""Our green party is coming up! March 17th from 2-5 in the office stop by an grab some green goodies!! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85604""}",Tweet_id:1235958546375872515,"created_at:""Fri Mar 06 16:00:55 +0000 2020""","rawtext:""Amazing algorithms in computing #turtlelogo __ Finding the shape from the algorithm and debugging any problems we may have with programming. #greatteamwork #excitement #smashedit! https://t.co/2GZPKZFv6A""","text:""Amazing algorithms in computing turtlelogo Finding the shape from the algorithm and debugging any problems we may have with programming. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85606""}",Tweet_id:1235959228575203329,"created_at:""Fri Mar 06 16:03:37 +0000 2020""","rawtext:""Red-winged Blackbird. Waiting for the lady birds to arrive. \n#anticipation #anydaynow #redwingedblackbird #fpdcc #bartelgrassland #naturalillinois #onlyinillinois #discoveryourplace #enjoyillinois #outdoorillinois #ilnature #optoutside #outsideisbetter #trailtracing https://t.co/M7voAiocws""","text:""Red-winged Blackbird. Waiting for the lady birds to arrive. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85608""}",Tweet_id:1235960175200219136,"created_at:""Fri Mar 06 16:07:23 +0000 2020""","rawtext:""#Tesla truck spotted on the highway with no driver behind the wheel \n\n#SelfDriving #AutonomousCars #AutonomousVehicles #Tech #Video #interesting https://t.co/0rSFYVENgi""","text:""Tesla truck spotted on the highway with no driver behind the wheel ""}",,,,,,,,,,
