"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854cd""}",Tweet_id:1234666615834234880,"created_at:""Tue Mar 03 02:27:14 +0000 2020""","rawtext:""Anybody remember the good old days of @MrBeastYT ???? These were GOLDEN!! #missthegoodolddays #funny #thegoodyoutube #imisswhenpeoplemadegreatoriginalvideos #sad https://t.co/biy1aEO7DO""","text:""Anybody remember the good old days of ? These were GOLDEN!! ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854ca""}",Tweet_id:1234666072722141184,"created_at:""Tue Mar 03 02:25:05 +0000 2020""","rawtext:""Come Join you amazing people!!! #rainbow6siege #amazing #YouTube\n\nhttps://t.co/lKbF9JwPuw https://t.co/1Ucl7nRwJX""","text:""Come Join you amazing people!! ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854ce""}",Tweet_id:1234666660553904128,"created_at:""Tue Mar 03 02:27:25 +0000 2020""","rawtext:""@JoeBiden doesn't know where he is or what he is saying. #Sad""","text:""does not know where he is or what he is saying. ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854cc""}",Tweet_id:1234666221745795073,"created_at:""Tue Mar 03 02:25:40 +0000 2020""","rawtext:""It can__ be a coincidence that the take down of Chris Matthews comes immediately after he attacked Sanders. \n\nThis is absurd. Matthews was very flawed (he grew up with my mother &amp; her cousins in Somerton", PA &amp; I knew him a little)," but there is no evidence he was an abuser. #Sad""","text:""It can not be a coincidence that the take down of Chris Matthews comes immediately after he attacked Sanders. This is absurd. Matthews was very flawed (he grew up with my mother &amp; her cousins in Somerton", PA &amp; I knew him a little)," but there is no evidence he was an abuser. ""}",,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d1""}",Tweet_id:1234666783946108928,"created_at:""Tue Mar 03 02:27:54 +0000 2020""","rawtext:""Why write a lot? - I want to give you!  #Plymouth  \n #amazing https://t.co/QwfBKszeBw""","text:""Why write a lot? - I want to give you! ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d2""}",Tweet_id:1234666893501272065,"created_at:""Tue Mar 03 02:28:21 +0000 2020""","rawtext:""Beautiful #artglass necklace"," in #amazing shades of aqua #blue and sandy beige. Aurora borealis #rhinestones with creamy ivory art glass gives you a double stranded oceanic wonder with all of the shades of the #Caribbean Sea.\n\nhttps://t.co/hycBSnJPVR\n\n#vintage #gifts #MondayMood https://t.co/Polk3pqHvN""","text:""Beautiful artglass necklace"," in amazing shades of aqua blue and sandy beige. Aurora borealis rhinestones with creamy ivory art glass gives you a double stranded oceanic wonder with all of the shades of the Caribbean Sea. ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d4""}",Tweet_id:1234667237761355779,"created_at:""Tue Mar 03 02:29:43 +0000 2020""","rawtext:""I agree so #sad""","text:""I agree so ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d5""}",Tweet_id:1234667289380704257,"created_at:""Tue Mar 03 02:29:55 +0000 2020""","rawtext:""That time when @POTUS @realDonaldTrump @WhiteHouse tried to sell another lie to the American people and he got stopped and fact-checked in real time. Would be funny if it wasn__ so #Scary &amp; #Sad @GOP #MAGA #KAG""","text:""That time when tried to sell another lie to the American people and he got stopped and fact-checked in real time. Would be funny if it was not so Scary &amp; ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d7""}",Tweet_id:1234667394770993154,"created_at:""Tue Mar 03 02:30:20 +0000 2020""","rawtext:""@MadhavSheth1 #Amazing Selfy photo's""","text:""Amazing Selfy photo's""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d6""}",Tweet_id:1234667352207183878,"created_at:""Tue Mar 03 02:30:10 +0000 2020""","rawtext:""@karibeautyxo @boxycharm Exactly my thoughts. I was using only liquid lips &amp; a liner makes all the difference. I__ much rather get a lip liner over the 446689766 eyeliners that @boxycharm sends me. Some were even duplicated in the same month over both boxes. #Boxycharm #Boxychat #Boxy #Boxycharmers #Sad""","text:""Exactly my thoughts. I was using only liquid lips &amp; a liner makes all the difference. I would much rather get a lip liner over the 446689766 eyeliners that sends me. Some were even duplicated in the same month over both boxes. ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854d8""}",Tweet_id:1234667583166500864,"created_at:""Tue Mar 03 02:31:05 +0000 2020""","rawtext:""Great day\n#amazing""","text:""Great day ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf4edb0d40b1f9dc854da""}",Tweet_id:1234667666805100550,"created_at:""Tue Mar 03 02:31:25 +0000 2020""","rawtext:""@KrispKiwi I will not read a thread that advocates death of the most vulnerable among us. #sad #wastedtime""","text:""I will not read a thread that advocates death of the most vulnerable among us. ""}",,,,,,,,
